name,TimePeriod,HDI,Population,"Electronic Waste Recycling, per capita (Kg)","Electronic Waste Generated, per capita (Kg)"
Saint Lucia,2011,0.747,183.627,,8.628325
Saint Lucia,2012,0.747,183.627,,8.888574
Saint Lucia,2013,0.747,183.627,,9.112934
Saint Lucia,2014,0.747,183.627,,9.300648
Saint Lucia,2015,0.747,183.627,0.167475199714175,9.441072
Saint Lucia,2016,0.747,183.627,0.169483085964405,9.546921
Saint Lucia,2017,0.747,183.627,0.170999121328507,9.571896
Saint Lucia,2018,0.747,183.627,0.171938402331079,9.619547
Saint Lucia,2019,0.747,183.627,0.173643956344539,9.708456
Serbia,2010,0.787,8737.371,,6.016489
Serbia,2011,0.787,8737.371,,6.512995
Serbia,2012,0.787,8737.371,,6.984216
Serbia,2013,0.787,8737.371,,7.422433
Serbia,2014,0.787,8737.371,,7.820247
Serbia,2015,0.787,8737.371,1.46449550326655,8.174061
Serbia,2016,0.787,8737.371,1.51916814707719,8.50176
Serbia,2017,0.787,8737.371,1.5688936356625802,8.802046
Serbia,2018,0.787,8737.371,1.61823227003952,9.087453
Serbia,2019,0.787,8737.371,1.6653578195869898,9.357144000000002
Slovakia,2010,0.855,5459.642,4.05529455934384,10.04582
Slovakia,2011,0.855,5459.642,4.36333827084533,10.373971
Slovakia,2012,0.855,5459.642,4.18678555849846,10.677648
Slovakia,2013,0.855,5459.642,4.16546701683838,10.998842
Slovakia,2014,0.855,5459.642,4.184351674164329,11.323432
Slovakia,2015,0.855,5459.642,4.29684668558142,11.63621
Slovakia,2016,0.855,5459.642,5.19147276893186,11.924822
Slovakia,2017,0.855,5459.642,5.475501307567329,12.189436
Slovakia,2018,0.855,5459.642,5.60205718485748,12.464531
Slovakia,2019,0.855,5459.642,5.73964336362097,12.761259
Slovenia,2010,0.896,2078.938,4.24501892982847,12.824796
Slovenia,2011,0.896,2078.938,4.55520899653776,13.16701
Slovenia,2012,0.896,2078.938,4.58250600390897,13.454128
Slovenia,2013,0.896,2078.938,4.1388770405987,13.715983
Slovenia,2014,0.896,2078.938,4.687814391183889,13.960175
Slovenia,2015,0.896,2078.938,5.082563288220969,14.189029000000001
Slovenia,2016,0.896,2078.938,5.82006118006657,14.414178
Slovenia,2017,0.896,2078.938,5.90521689033156,14.626347
Slovenia,2018,0.896,2078.938,5.9926604371086,14.838868
Slovenia,2019,0.896,2078.938,6.0847568460167,15.065561
South Africa,2010,0.699,59308.69,,5.659164
South Africa,2011,0.699,59308.69,,5.982768
South Africa,2012,0.699,59308.69,,6.263934
South Africa,2013,0.699,59308.69,,6.493358
South Africa,2014,0.699,59308.69,,6.675989
South Africa,2015,0.699,59308.69,0.320169029314776,6.810707
South Africa,2016,0.699,59308.69,0.32491573744705093,6.904453
South Africa,2017,0.699,59308.69,0.329752896289618,6.993818
South Africa,2018,0.699,59308.69,0.333997758862219,7.031336
South Africa,2019,0.699,59308.69,0.337447612426781,7.085533
Spain,2010,0.891,46754.778,3.36875333881045,16.462865
Spain,2011,0.891,46754.778,3.26790861367163,16.939864
Spain,2012,0.891,46754.778,3.35707035107938,17.387038
Spain,2013,0.891,46754.778,4.46414930452344,17.838261
Spain,2014,0.891,46754.778,3.95096601865234,18.198085
Spain,2015,0.891,46754.778,4.94361502470039,18.481356
Spain,2016,0.891,46754.778,5.36051588481406,18.716533
Spain,2017,0.891,46754.778,6.15703867898388,18.872314
Spain,2018,0.891,46754.778,6.19200235635583,18.981201
Spain,2019,0.891,46754.778,6.22785503745208,19.024281
Sweden,2010,0.933,10099.265,17.1928967747823,17.943592
Sweden,2011,0.933,10099.265,18.6527413709416,18.446425
Sweden,2012,0.933,10099.265,17.6689964818564,18.898843
Sweden,2013,0.933,10099.265,18.357944091588095,19.276821
Sweden,2014,0.933,10099.265,14.945929881098401,19.562074
Sweden,2015,0.933,10099.265,14.7420124774845,19.812734
Sweden,2016,0.933,10099.265,16.595867244042097,19.915874
Sweden,2017,0.933,10099.265,14.2735485838062,19.988002
Sweden,2018,0.933,10099.265,14.368388189293,20.038566
Sweden,2019,0.933,10099.265,14.4683203374599,20.127966
Switzerland,2010,0.944,8654.622,15.0345628463936,20.368718
Switzerland,2011,0.944,8654.622,14.9867433718123,20.986127
Switzerland,2012,0.944,8654.622,16.1213665424326,21.626354
Switzerland,2013,0.944,8654.622,15.7728395402766,22.200682
Switzerland,2014,0.944,8654.622,15.4277301629063,22.645563
Switzerland,2015,0.944,8654.622,15.921849152230802,22.975882
Switzerland,2016,0.944,8654.622,15.728083160748,23.178924
Switzerland,2017,0.944,8654.622,14.5225813722822,23.273183
Switzerland,2018,0.944,8654.622,14.581885179882601,23.383428
Switzerland,2019,0.944,8654.622,14.661695717011499,23.41126
Turkey,2010,0.791,84339.067,,7.034281
Turkey,2011,0.791,84339.067,,7.411117
Turkey,2012,0.791,84339.067,,7.801697
Turkey,2013,0.791,84339.067,,8.171687
Turkey,2014,0.791,84339.067,,8.536284
Turkey,2015,0.791,84339.067,1.5917602745865402,8.873081
Turkey,2016,0.791,84339.067,1.65017762497427,9.224994
Turkey,2017,0.791,84339.067,1.70857602774066,9.586016
Turkey,2018,0.791,84339.067,1.76269904375863,9.892814
Turkey,2019,0.791,84339.067,1.81596324681236,10.19986
Uganda,2010,0.516,45741.007,,0.354472
Uganda,2011,0.516,45741.007,,0.409183
Uganda,2012,0.516,45741.007,,0.464513
Uganda,2013,0.516,45741.007,,0.520855
Uganda,2014,0.516,45741.007,,0.578777
Uganda,2015,0.516,45741.007,,0.634672
Uganda,2016,0.516,45741.007,,0.685775
Uganda,2017,0.516,45741.007,,0.730692
Uganda,2018,0.516,45741.007,0.0042125925061911,0.768958
Uganda,2019,0.516,45741.007,0.0043746256769913,0.802841
Ukraine,2010,0.751,43733.762,1.22073495407044,4.629918
Ukraine,2011,0.751,43733.762,0.8790033285948979,5.114527
Ukraine,2012,0.751,43733.762,0.6930112891539,5.570608
Ukraine,2013,0.751,43733.762,0.9230024306319508,5.983299
Ukraine,2014,0.751,43733.762,0.667235183555069,6.685785
Ukraine,2015,0.751,43733.762,0.830334852452835,6.976726
Ukraine,2016,0.751,43733.762,1.02653083479455,7.21207
Ukraine,2017,0.751,43733.762,0.899124764980025,7.415024
Ukraine,2018,0.751,43733.762,0.88986572205885,7.588038
Ukraine,2019,0.751,43733.762,0.909222271044932,7.739957
Zimbabwe,2010,0.535,14862.924,,1.049258
Zimbabwe,2011,0.535,14862.924,,1.070286
Zimbabwe,2012,0.535,14862.924,,1.053564
Zimbabwe,2013,0.535,14862.924,,1.057364
Zimbabwe,2014,0.535,14862.924,,1.062997
Zimbabwe,2015,0.535,14862.924,,1.067668
Zimbabwe,2016,0.535,14862.924,,1.072135
Zimbabwe,2017,0.535,14862.924,0.0021072448553197,1.077279
Zimbabwe,2018,0.535,14862.924,0.002024376105181,1.081951
Zimbabwe,2019,0.535,14862.924,0.0020484145510357,1.082455
